Departamento;Municipio;División;Personas en hogares particulares;Sin servicio de energía eléctrica;No tiene;Estrato 1;Estrato 2;Estrato 3;Estrato 4;Estrato 5;Estrato 6;No sabe o no responde
05_Antioquia;;Centro poblado;2.568;176;20;2.343;22;0;0;0;0;7
05_Antioquia;;Rural disperso;5.081;1.544;177;3.278;76;0;0;0;0;6
05_Antioquia;05483_Nariño;Total;8.599;145;193;2.572;5.441;236;0;0;6;6
05_Antioquia;;Cabecera;2.741;3;93;642;1.854;144;0;0;0;5
05_Antioquia;;Centro poblado;591;8;12;277;290;4;0;0;0;0
05_Antioquia;;Rural disperso;5.267;134;88;1.653;3.297;88;0;0;6;1
05_Antioquia;05490_Necoclí;Total;38.420;1.593;491;31.947;3.953;216;31;1;0;188
05_Antioquia;;Cabecera;9.946;52;28;5.779;3.680;207;24;1;0;175
05_Antioquia;;Centro poblado;10.757;237;46;10.237;226;2;7;0;0;2
05_Antioquia;;Rural disperso;17.717;1.304;417;15.931;47;7;0;0;0;11
05_Antioquia;05495_Nechí;Total;24.030;1.009;470;21.895;603;38;0;0;0;15
05_Antioquia;;Cabecera;12.969;80;251;12.041;556;32;0;0;0;9
05_Antioquia;;Centro poblado;4.164;61;130;3.928;35;4;0;0;0;6
05_Antioquia;;Rural disperso;6.897;868;89;5.926;12;2;0;0;0;0
05_Antioquia;05501_Olaya;Total;2.719;38;98;1.296;1.201;63;18;4;0;1
05_Antioquia;;Cabecera;185;3;0;98;80;4;0;0;0;0
05_Antioquia;;Centro poblado;929;4;17;379;490;39;0;0;0;0
05_Antioquia;;Rural disperso;1.605;31;81;819;631;20;18;4;0;1
05_Antioquia;05541_Peñol;Total;17.996;93;81;1.155;15.366;1.024;129;24;9;115
05_Antioquia;;Cabecera;11.000;12;3;549;9.757;650;9;7;3;10
05_Antioquia;;Rural disperso;6.996;81;78;606;5.609;374;120;17;6;105
05_Antioquia;05543_Peque;Total;7.141;181;36;5.632;1.209;69;0;0;0;14
05_Antioquia;;Cabecera;2.080;4;11;856;1.133;69;0;0;0;7
